,dateBegin1,Anteil
1,20200515.0,1.0
3,20200518.0,10.0
5,20200519.0,9.0
7,20200520.0,13.0
9,20200522.0,5.0
11,20200525.0,14.0
13,20200526.0,9.0
15,20200527.0,13.0
17,20200528.0,11.0
19,20200529.0,7.0
21,20200602.0,12.0
23,20200603.0,22.0
25,20200604.0,29.0
27,20200605.0,18.0
29,20200608.0,24.0
31,20200609.0,27.0
33,20200610.0,27.0
35,20200612.0,11.0
37,20200615.0,26.0
39,20200616.0,25.0
41,20200617.0,22.0
43,20200618.0,21.0
45,20200619.0,19.0
47,20200622.0,24.0
49,20200623.0,47.0
51,20200624.0,43.0
53,20200625.0,37.0
55,20200626.0,26.0
57,20200629.0,42.0
59,20200630.0,39.0
61,20200701.0,45.0
63,20200702.0,45.0
65,20200703.0,26.0
67,20200706.0,49.0
69,20200707.0,47.0
71,20200708.0,48.0
73,20200709.0,43.0
75,20200710.0,27.0
77,20200713.0,49.0
79,20200714.0,47.0
81,20200715.0,46.0
83,20200716.0,48.0
85,20200717.0,28.0
87,20200720.0,49.0
89,20200721.0,47.0
91,20200722.0,46.0
93,20200723.0,44.0
95,20200724.0,31.0
97,20200727.0,45.0
99,20200728.0,45.0
101,20200729.0,44.0
103,20200730.0,36.0
105,20200731.0,20.0
107,20200803.0,44.0
109,20200804.0,38.0
111,20200805.0,39.0
113,20200806.0,41.0
115,20200807.0,23.0
117,20200810.0,40.0
119,20200811.0,38.0
121,20200812.0,39.0
123,20200813.0,40.0
125,20200814.0,26.0
127,20200817.0,37.0
129,20200818.0,33.0
131,20200819.0,37.0
133,20200820.0,37.0
135,20200821.0,29.0
137,20200824.0,33.0
139,20200825.0,37.0
141,20200826.0,37.0
143,20200827.0,35.0
145,20200828.0,20.0
147,20200831.0,31.0
149,20200901.0,39.0
151,20200902.0,35.0
153,20200903.0,36.0
155,20200904.0,22.0
157,20200907.0,37.0
159,20200908.0,38.0
161,20200909.0,39.0
163,20200910.0,36.0
165,20200911.0,24.0
167,20200914.0,38.0
169,20200915.0,34.0
171,20200916.0,36.0
173,20200917.0,34.0
175,20200918.0,24.0
177,20200921.0,30.0
179,20200922.0,36.0
181,20200923.0,39.0
183,20200924.0,39.0
185,20200925.0,18.0
187,20200928.0,39.0
189,20200929.0,32.0
191,20200930.0,33.0
193,20201001.0,36.0
195,20201002.0,24.0
197,20201005.0,37.0
199,20201006.0,34.0
201,20201007.0,37.0
203,20201008.0,37.0
205,20201009.0,22.0
207,20201012.0,27.0
209,20201013.0,29.0
211,20201014.0,23.0
213,20201015.0,30.0
215,20201016.0,12.0
217,20201019.0,19.0
219,20201020.0,18.0
221,20201021.0,19.0
223,20201022.0,19.0
225,20201023.0,12.0
227,20201026.0,31.0
229,20201027.0,20.0
231,20201028.0,24.0
233,20201029.0,24.0
235,20201030.0,13.0
237,20201102.0,22.0
239,20201103.0,29.0
241,20201104.0,24.0
243,20201105.0,24.0
245,20201106.0,20.0
247,20201109.0,28.0
249,20201110.0,31.0
251,20201111.0,26.0
253,20201112.0,23.0
255,20201113.0,15.0
